OM	w
0.038952917	-0.415262389
0.038957252	-0.419592667
0.038961587	-0.423922945
0.038965922	-0.428253223
0.038970258	-0.432583501
0.038974593	-0.436913779
0.038978928	-0.441244057
0.038983263	-0.445574335
0.038987598	-0.449904613
0.038991933	-0.454234892
0.040199979	-0.371954791
0.040204315	-0.376285069
0.040208650	-0.380615347
0.040212985	-0.384945625
0.040217320	-0.389275903
0.040221655	-0.393606181
0.040225990	-0.397936460
0.040230325	-0.402266738
0.040234660	-0.406597016
0.040238995	-0.410927294
0.040243330	-0.415257572
0.040247665	-0.419587850
0.040252001	-0.423918128
0.040256336	-0.428248406
0.040260671	-0.432578684
0.040265006	-0.436908962
0.040269341	-0.441239241
0.040273676	-0.445569519
0.040278011	-0.449899797
0.040282346	-0.454230075
0.040286681	-0.458560353
0.041490393	-0.371949974
0.041494728	-0.376280252
0.041499063	-0.380610530
0.041503398	-0.384940809
0.041507733	-0.389271087
0.041512068	-0.393601365
0.041516403	-0.397931643
0.041520738	-0.402261921
0.041525073	-0.406592199
0.041529409	-0.410922477
0.041533744	-0.415252755
0.041538079	-0.419583033
0.041542414	-0.423913311
0.041546749	-0.428243589
0.041551084	-0.432573868
0.041555419	-0.436904146
0.041559754	-0.441234424
0.041564089	-0.445564702
0.041568424	-0.449894980
0.041572759	-0.454225258
0.041577095	-0.458555536
0.041581430	-0.462885814
0.042780806	-0.371945157
0.042785141	-0.376275436
0.042789476	-0.380605714
0.042793811	-0.384935992
0.042798146	-0.389266270
0.042802481	-0.393596548
0.042806816	-0.397926826
0.042811152	-0.402257104
0.042815487	-0.406587382
0.042819822	-0.410917660
0.042824157	-0.415247938
0.042828492	-0.419578216
0.042832827	-0.423908495
0.042837162	-0.428238773
0.042841497	-0.432569051
0.042845832	-0.436899329
0.042850167	-0.441229607
0.042854503	-0.445559885
0.042858838	-0.449890163
0.042863173	-0.454220441
0.042867508	-0.458550719
0.042871843	-0.462880997
0.042876178	-0.467211276
0.044071219	-0.371940341
0.044075554	-0.376270619
0.044079889	-0.380600897
0.044084224	-0.384931175
0.044088560	-0.389261453
0.044092895	-0.393591731
0.044097230	-0.397922009
0.044101565	-0.402252287
0.044105900	-0.406582565
0.044110235	-0.410912844
0.044114570	-0.415243122
0.044118905	-0.419573400
0.044123240	-0.423903678
0.044127575	-0.428233956
0.044131910	-0.432564234
0.044136246	-0.436894512
0.044140581	-0.441224790
0.044144916	-0.445555068
0.044149251	-0.449885346
0.044153586	-0.454215624
0.044157921	-0.458545903
0.044162256	-0.462876181
0.044166591	-0.467206459
0.045361632	-0.371935524
0.045365967	-0.376265802
0.045370303	-0.380596080
0.045374638	-0.384926358
0.045378973	-0.389256636
0.045383308	-0.393586914
0.045387643	-0.397917192
0.045391978	-0.402247471
0.045396313	-0.406577749
0.045400648	-0.410908027
0.045404983	-0.415238305
0.045409318	-0.419568583
0.045413654	-0.423898861
0.045417989	-0.428229139
0.045422324	-0.432559417
0.045426659	-0.436889695
0.045430994	-0.441219973
0.045435329	-0.445550252
0.045439664	-0.449880530
0.045443999	-0.454210808
0.045448334	-0.458541086
0.045452669	-0.462871364
0.045457004	-0.467201642
0.045461340	-0.471531920
0.046656381	-0.376260985
0.046660716	-0.380591263
0.046665051	-0.384921541
0.046669386	-0.389251820
0.046673721	-0.393582098
0.046678056	-0.397912376
0.046682391	-0.402242654
0.046686726	-0.406572932
0.046691061	-0.410903210
0.046695397	-0.415233488
0.046699732	-0.419563766
0.046704067	-0.423894044
0.046708402	-0.428224322
0.046712737	-0.432554600
0.046717072	-0.436884879
0.046721407	-0.441215157
0.046725742	-0.445545435
0.046730077	-0.449875713
0.046734412	-0.454205991
0.046738748	-0.458536269
0.046743083	-0.462866547
0.046747418	-0.467196825
0.046751753	-0.471527103
0.046756088	-0.475857381
0.047946794	-0.376256168
0.047951129	-0.380586447
0.047955464	-0.384916725
0.047959799	-0.389247003
0.047964134	-0.393577281
0.047968469	-0.397907559
0.047972805	-0.402237837
0.047977140	-0.406568115
0.047981475	-0.410898393
0.047985810	-0.415228671
0.047990145	-0.419558949
0.047994480	-0.423889228
0.047998815	-0.428219506
0.048003150	-0.432549784
0.048007485	-0.436880062
0.048011820	-0.441210340
0.048016155	-0.445540618
0.048020491	-0.449870896
0.048024826	-0.454201174
0.048029161	-0.458531452
0.048033496	-0.462861730
0.048037831	-0.467192008
0.048042166	-0.471522287
